,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
500,1-00468-0001,201 East 12th Street,New York,10003
501,1-01425-0017,225 East 70th Street,New York,10021
502,1-01320-0018,235 East 46th Street,New York,10017
503,1-01126-0029,135 Central Park West,New York,10023
504,3-05100-0051,49 East 19th Street,Brooklyn,11226
505,1-00747-0001,350 West 24th Street,New York,10001
506,1-00026-0021,45 Wall Street,New York,10005
507,1-00748-0001,351 West 24th Street,New York,10001
508,2-02819-0001,1504 Sheridan Avenue,Bronx,10457
509,1-00748-0001,321 West 24th Street,New York,10001
510,1-00749-0001,365 West 25th Street,New York,10001
511,1-00751-0001,280 9th Ave,New York,10001
512,1-00751-0001,330 West 28th Street,New York,10001
513,1-00751-0001,345 8th Avenue,New York,10001
